5 0 7: 1 1 37.6
5 0 8: 1 1 37.6
5 0 9: 1 1 37.6
5 1 7: 1 1 37.6
5 1 8: 1 1 37.6
5 1 9: 1 1 37.6
5 2 7: 1 1 37.6
5 2 8: 1 1 37.6
5 2 9: 1 1 37.6
6 0 7: 1 1 37.6
6 0 8: 1 1 37.6
6 0 9: 1 1 37.6
6 1 7: 1 1 37.6
6 1 8: 1 1 37.6
6 1 9: 1 1 37.6
6 2 7: 1 1 37.6
6 2 8: 1 1 37.6
6 2 9: 1 1 37.6
7 0 7: 1 1 37.6
7 0 8: 1 1 37.6
7 0 9: 1 1 37.6
7 1 7: 1 1 37.6
7 1 8: 1 1 37.6
7 1 9: 1 1 37.6
7 2 7: 1 1 37.6
7 2 8: 1 1 37.6
7 2 9: 1 1 37.6
5 3 7: 1 2 37.6
5 3 8: 1 2 37.6
5 3 9: 1 2 37.6
5 4 7: 1 2 37.6
5 4 8: 1 2 37.6
5 4 9: 1 2 37.6
5 5 7: 1 2 37.6
5 5 8: 1 2 37.6
5 5 9: 1 2 37.6
6 3 7: 1 2 37.6
6 3 8: 1 2 37.6
6 3 9: 1 2 37.6
6 4 7: 1 2 37.6
6 4 8: 1 2 37.6
6 4 9: 1 2 37.6
6 5 7: 1 2 37.6
6 5 8: 1 2 37.6
6 5 9: 1 2 37.6
7 3 7: 1 2 37.6
7 3 8: 1 2 37.6
7 3 9: 1 2 37.6
7 4 7: 1 2 37.6
7 4 8: 1 2 37.6
7 4 9: 1 2 37.6
7 5 7: 1 2 37.6
7 5 8: 1 2 37.6
7 5 9: 1 2 37.6
5 6 7: 1 3 37.6
5 6 8: 1 3 37.6
5 6 9: 1 3 37.6
5 7 7: 1 3 37.6
5 7 8: 1 3 37.6
5 7 9: 1 3 37.6
5 8 7: 1 3 37.6
5 8 8: 1 3 37.6
5 8 9: 1 3 37.6
6 6 7: 1 3 37.6
6 6 8: 1 3 37.6
6 6 9: 1 3 37.6
6 7 7: 1 3 37.6
6 7 8: 1 3 37.6
6 7 9: 1 3 37.6
6 8 7: 1 3 37.6
6 8 8: 1 3 37.6
6 8 9: 1 3 37.6
7 6 7: 1 3 37.6
7 6 8: 1 3 37.6
7 6 9: 1 3 37.6
7 7 7: 1 3 37.6
7 7 8: 1 3 37.6
7 7 9: 1 3 37.6
7 8 7: 1 3 37.6
7 8 8: 1 3 37.6
7 8 9: 1 3 37.6
5 9 7: 1 4 37.6
5 9 8: 1 4 37.6
5 9 9: 1 4 37.6
5 10 7: 1 4 37.6
5 10 8: 1 4 37.6
5 10 9: 1 4 37.6
5 11 7: 1 4 37.6
5 11 8: 1 4 37.6
5 11 9: 1 4 37.6
6 9 7: 1 4 37.6
6 9 8: 1 4 37.6
6 9 9: 1 4 37.6
6 10 7: 1 4 37.6
6 10 8: 1 4 37.6
6 10 9: 1 4 37.6
6 11 7: 1 4 37.6
6 11 8: 1 4 37.6
6 11 9: 1 4 37.6
7 9 7: 1 4 37.6
7 9 8: 1 4 37.6
7 9 9: 1 4 37.6
7 10 7: 1 4 37.6
7 10 8: 1 4 37.6
7 10 9: 1 4 37.6
7 11 7: 1 4 37.6
7 11 8: 1 4 37.6
7 11 9: 1 4 37.6
5 12 7: 1 5 37.6
5 12 8: 1 5 37.6
5 12 9: 1 5 37.6
5 13 7: 1 5 37.6
5 13 8: 1 5 37.6
5 13 9: 1 5 37.6
5 14 7: 1 5 37.6
5 14 8: 1 5 37.6
5 14 9: 1 5 37.6
6 12 7: 1 5 37.6
6 12 8: 1 5 37.6
6 12 9: 1 5 37.6
6 13 7: 1 5 37.6
6 13 8: 1 5 37.6
6 13 9: 1 5 37.6
6 14 7: 1 5 37.6
6 14 8: 1 5 37.6
6 14 9: 1 5 37.6
7 12 7: 1 5 37.6
7 12 8: 1 5 37.6
7 12 9: 1 5 37.6
7 13 7: 1 5 37.6
7 13 8: 1 5 37.6
7 13 9: 1 5 37.6
7 14 7: 1 5 37.6
7 14 8: 1 5 37.6
7 14 9: 1 5 37.6
5 15 7: 1 6 37.6
5 15 8: 1 6 37.6
5 15 9: 1 6 37.6
5 16 7: 1 6 37.6
5 16 8: 1 6 37.6
5 16 9: 1 6 37.6
5 17 7: 1 6 37.6
5 17 8: 1 6 37.6
5 17 9: 1 6 37.6
6 15 6: 1 6 37.6
6 15 7: 1 6 37.6
6 15 8: 1 6 37.6
6 15 9: 1 6 37.6
6 16 7: 1 6 37.6
6 16 8: 1 6 37.6
6 16 9: 1 6 37.6
6 17 7: 1 6 37.6
6 17 8: 1 6 37.6
6 17 9: 1 6 37.6
7 15 7: 1 6 37.6
7 15 8: 1 6 37.6
7 15 9: 1 6 37.6
7 16 7: 1 6 37.6
7 16 8: 1 6 37.6
7 16 9: 1 6 37.6
7 17 7: 1 6 37.6
7 17 8: 1 6 37.6
7 17 9: 1 6 37.6
5 18 7: 1 7 37.6
5 18 8: 1 7 37.6
5 18 9: 1 7 37.6
5 19 7: 1 7 37.6
5 19 8: 1 7 37.6
5 19 9: 1 7 37.6
6 18 7: 1 7 37.6
6 18 8: 1 7 37.6
6 18 9: 1 7 37.6
6 19 7: 1 7 37.6
6 19 8: 1 7 37.6
6 19 9: 1 7 37.6
6 19 10: 1 7 37.6
7 18 7: 1 7 37.6
7 18 8: 1 7 37.6
7 18 9: 1 7 37.6
7 19 7: 1 7 37.6
7 19 8: 1 7 37.6
7 19 9: 1 7 37.6
12 8 8: 2 8 37.6
12 8 9: 2 8 37.6
12 8 10: 2 8 37.6
12 8 11: 2 8 37.6
12 8 12: 2 8 37.6
12 9 8: 2 9 37.6
12 9 9: 2 9 37.6
12 9 10: 2 9 37.6
12 9 11: 2 9 37.6
12 9 12: 2 9 37.6
12 10 8: 2 10 37.6
12 10 9: 2 10 37.6
12 10 10: 2 10 37.6
12 10 11: 2 10 37.6
12 10 12: 2 10 37.6
12 11 8: 2 11 37.6
12 11 9: 2 11 37.6
12 11 10: 2 11 37.6
12 11 11: 2 11 37.6
12 11 12: 2 11 37.6
12 12 8: 2 12 37.6
12 12 9: 2 12 37.6
12 12 10: 2 12 37.6
12 12 11: 2 12 37.6
12 12 12: 2 12 37.6
13 8 8: 2 13 37.6
13 8 9: 2 13 37.6
13 8 10: 2 13 37.6
13 8 11: 2 13 37.6
13 8 12: 2 13 37.6
